"Symbol","Company Name","Sector","Industry"
"AMTI","Applied Molecular Transport Inc.","",""
"AMTX","Aemetis Inc","Energy","Oil, Gas & Consumable Fuels"
"AMWD","American Woodmark Corporation","Industrials","Building Products"
"AMX","America Movil SAB de CV (ADR)","Communication Services","Wireless Telecommunication Services"
"AMZN","Amazon.com, Inc.","Consumer Discretionary","Internet & Direct Marketing Retail"
"AN","AutoNation, Inc.","Consumer Discretionary","Specialty Retail"
"ANAB","AnaptysBio Inc","Health Care","Biotechnology"
"ANAT","American National Insurance Company","Financials","Insurance"
"ANDA","Andina Acquisition Corp III","",""
"ANDE","Andersons Inc","Consumer Staples","Food & Staples Retailing"
"ANET","Arista Networks Inc","Information Technology","Communications Equipment"
"ANF","Abercrombie & Fitch Co.","Consumer Discretionary","Specialty Retail"
"ANGI","ANGI Homeservices Inc","Communication Services","Interactive Media & Services"
"ANGO","AngioDynamics, Inc.","Health Care","Health Care Equipment & Supplies"
"ANH","Anworth Mortgage Asset Corporation","Financials","Mortgage Real Estate Investment Trusts (REITs)"
"ANH-A","Anworth Mortgage Asset Corp","Financials","Mortgage Real Estate Investment Trusts (REITs)"
"ANH-B","Anworth Mortgage Asset Corp","Financials","Mortgage Real Estate Investment Trusts (REITs)"
"ANH-C","Anworth Mortgage Asset Corp","Financials","Mortgage Real Estate Investment Trusts (REITs)"
"ANIK","Anika Therapeutics Inc","Health Care","Biotechnology"
"ANIP","ANI Pharmaceuticals Inc","Health Care","Pharmaceuticals"
"ANIX","Anixa Biosciences Inc","Health Care","Biotechnology"
"ANPC","AnPac Bio-Medical Science Co Ltd - ADR","",""
"ANSS","ANSYS, Inc.","Information Technology","Software"
"ANTE","Airnet Technology Inc(ADR)","Communication Services","Media"
"ANTM","Anthem Inc","Health Care","Health Care Providers & Services"
"ANVS","Annovis Bio Inc","Health Care","Biotechnology"
"ANY","Sphere 3D Corp","Information Technology","Software"
"AOD","Aberdeen Total Dynamic Dividend Fund","",""
"AON","Aon PLC","Financials","Insurance"
"AOS","A. O. Smith Corp","Industrials","Building Products"
"AOSL","Alpha and Omega Semiconductor Ltd","Information Technology","Semiconductors & Semiconductor Equipment"
"AP","Ampco-Pittsburgh Corp","Materials","Metals & Mining"
"APA","Apache Corporation","Energy","Oil, Gas & Consumable Fuels"
"APAM","Artisan Partners Asset Management Inc","Financials","Capital Markets"
"APD","Air Products & Chemicals, Inc.","Materials","Chemicals"
"APDN","Applied DNA Sciences Inc","Information Technology","Electronic Equipment, Instruments & Components"
"APEI","American Public Education, Inc.","Consumer Discretionary","Diversified Consumer Services"
"APEN","Apollo Endosurgery Inc","Health Care","Health Care Equipment & Supplies"
"APEX","Apex Global Brands Inc","Consumer Discretionary","Textiles, Apparel & Luxury Goods"
"APG","APi Group Corp","",""
"APH","Amphenol Corporation","Information Technology","Electronic Equipment, Instruments & Components"
"APLE","Apple Hospitality REIT Inc","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"APLS","Apellis Pharmaceuticals Inc","Health Care","Biotechnology"
"APLT","Applied Therapeutics Inc","Health Care","Biotechnology"
"APM","Aptorum Group Ltd","Health Care","Biotechnology"
"APO","Apollo Global Management Inc","Financials","Capital Markets"
"APO-A","Apollo Global Management Inc","Financials","Capital Markets"
"APO-B","Apollo Global Management Inc","Financials","Capital Markets"
"APOG","Apogee Enterprises Inc","Industrials","Building Products"
"APPF","AppFolio Inc","Information Technology","Software"
"APPN","Appian Corp","Information Technology","Software"
"APPS","Digital Turbine Inc","Information Technology","Software"
"APRE","Aprea Therapeutics Inc","Health Care","Biotechnology"
"APRN","Blue Apron Holdings, Inc.","Consumer Discretionary","Internet & Direct Marketing Retail"
"APT","Alpha Pro Tech, Ltd.","Industrials","Building Products"
"APTO","Aptose Biosciences Inc","Health Care","Biotechnology"
"APTS","Preferred Apartment Communities Inc.","Real Estate","Equity Real Estate Investment Trusts (REITs)"
"APTV","Aptiv PLC","Consumer Discretionary","Auto Components"
"APTX","Aptinyx Inc","Health Care","Biotechnology"
"APVO","Aptevo Therapeutics Inc","Health Care","Biotechnology"
"APWC","Asia Pacific Wire & Cable CorporationLtd","Industrials","Electrical Equipment"
"APXT","Apex Technology Acquisition Corp","",""
"APYX","Apyx Medical Corp","Health Care","Health Care Equipment & Supplies"
"AQB","Aquabounty Technologies Inc","Health Care","Biotechnology"
"AQMS","Aqua Metals Inc","Industrials","Commercial Services & Supplies"
"AQST","Aquestive Therapeutics Inc","Health Care","Pharmaceuticals"
"AQUA","Evoqua Water Technologies Corp","Industrials","Machinery"
"AR","Antero Resources Corp","Energy","Oil, Gas & Consumable Fuels"
"ARA","American Renal Associates Holdings Inc","Health Care","Health Care Providers & Services"
"ARAV","Aravive Inc","Health Care","Biotechnology"
"ARAY","Accuray Incorporated","Health Care","Health Care Equipment & Supplies"
"ARC","ARC Document Solutions Inc","Industrials","Commercial Services & Supplies"
"ARCB","ArcBest Corp","Industrials","Road & Rail"
"ARCC","Ares Capital Corporation","Financials","Capital Markets"
"ARCE","Arco Platform Ltd","Consumer Discretionary","Diversified Consumer Services"
"ARCH","Arch Resources Inc","Energy","Oil, Gas & Consumable Fuels"
"ARCO","Arcos Dorados Holdings Inc","Consumer Discretionary","Hotels, Restaurants & Leisure"
"ARCT","Arcturus Therapeutics Holdings Inc","Health Care","Biotechnology"
"ARD","Ardagh Group SA","Materials","Containers & Packaging"
"ARDC","Ares Dynamic Credit Allocation Fund Inc","",""
"ARDS","Aridis Pharmaceuticals Inc","Health Care","Biotechnology"
"ARDX","Ardelyx Inc","Health Care","Biotechnology"
"ARE","Alexandria Real Estate Equities Inc","Real Estate","Equity Real Estate Investment Trusts (REITs)"
